"Дата","Подразделение/дивизион","Показатель","Основной прогноз в миллионах тенге (Среднее_значение_прогноза)","нижняя_граница_доверительного_интервала_прогноза","верхняя_граница_доверительного_интервала_прогноза"
"2025-07-01","Дивизион_по_розничному_бизнесу","ARPU","10548.3735405636","9989.290913056821","11107.456168070399"
"2025-07-01","Дивизион_информационных_технологий","ARPU","10551.877777509300","9989.472598883980","11114.28295613460"
"2025-07-01","Дирекция_управления_проектами_(ДУП)","ARPU","10582.86855818350","10019.86641812120","11145.8706982459"
"2025-07-01","Дирекция_телеком-комплектации","ARPU","10545.517456614600","9986.361652682330","11104.673260546801"
"2025-07-01","Корпоративный_университет","ARPU","10553.29309835710","9996.221788613300","11110.364408100801"
"2025-07-01","Обьединение_""Дивизион_Сеть""","ARPU","10543.047466039599","9986.372501279749","11099.722430799400"
"2025-07-01","Сервисная_Фабрика","ARPU","10561.488093005701","10005.580015982199","11117.396170029200"
"2025-07-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10555.030087559400","9991.990218774010","11118.06995634480"
"2025-08-01","Дивизион_по_корпоративному_бизнесу","ARPU","10668.82844934180","10054.16946327210","11283.487435411600"
"2025-08-01","Дивизион_по_розничному_бизнесу","ARPU","10664.10575776800","10065.024765271401","11263.186750264500"
"2025-08-01","Дивизион_информационных_технологий","ARPU","10687.276316427100","10077.532043964500","11297.020588889600"
"2025-08-01","Дирекция_управления_проектами_(ДУП)","ARPU","10714.584016828099","10105.753841962100","11323.414191694101"
"2025-08-01","Дирекция_телеком-комплектации","ARPU","10655.47165275780","10054.25361522740","11256.68969028820"
"2025-08-01","Корпоративный_университет","ARPU","10678.827281082700","10082.647468487001","11275.00709367840"
"2025-08-01","Обьединение_""Дивизион_Сеть""","ARPU","10651.829764171400","10053.43516780250","11250.224360540200"
"2025-08-01","Сервисная_Фабрика","ARPU","10685.827792915799","10087.64240126860","11284.013184562900"
"2025-08-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10678.838972398600","10072.6119311369","11285.066013660400"
"2025-09-01","Дивизион_по_корпоративному_бизнесу","ARPU","10391.348161960301","9723.07735692391","11059.618966996601"
"2025-09-01","Дивизион_по_розничному_бизнесу","ARPU","10394.548066313200","9740.836915772450","11048.25921685400"
"2025-09-01","Дивизион_информационных_технологий","ARPU","10430.66181592880","9758.64454953695","11102.67908232070"
"2025-09-01","Дирекция_управления_проектами_(ДУП)","ARPU","10459.622036524201","9793.085413812951","11126.158659235500"
"2025-09-01","Дирекция_телеком-комплектации","ARPU","10379.29986722270","9717.597485490000","11041.002248955299"
"2025-09-01","Корпоративный_университет","ARPU","10413.66190922080","9767.14260080951","11060.181217632000"
"2025-09-01","Обьединение_""Дивизион_Сеть""","ARPU","10359.021874971000","9701.952437917760","11016.091312024200"
"2025-09-01","Сервисная_Фабрика","ARPU","10394.404940619699","9739.90185259441","11048.908028645001"
"2025-09-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10407.382108196700","9747.42991789957","11067.334298493901"
"2025-10-01","Дивизион_по_корпоративному_бизнесу","ARPU","10809.80647116890","10067.303370100801","11552.309572237000"
"2025-10-01","Дивизион_по_розничному_бизнесу","ARPU","10819.596781633900","10100.762837845001","11538.43072542280"
"2025-10-01","Дивизион_информационных_технологий","ARPU","10868.082819819700","10123.392260733101","11612.773378906300"
"2025-10-01","Дирекция_управления_проектами_(ДУП)","ARPU","10894.692173674401","10166.964450580401","11622.4198967683"
"2025-10-01","Дирекция_телеком-комплектации","ARPU","10800.12983517400","10074.624605150200","11525.635065197799"
"2025-10-01","Корпоративный_университет","ARPU","10830.959735258801","10121.797729555299","11540.121740962200"
"2025-10-01","Обьединение_""Дивизион_Сеть""","ARPU","10778.901081169101","10058.581693586100","11499.22046875210"
"2025-10-01","Сервисная_Фабрика","ARPU","10794.634320074400","10071.282150816500","11517.986489332299"
"2025-10-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10840.077023625699","10117.304649514899","11562.849397736500"
"2025-11-01","Дивизион_по_корпоративному_бизнесу","ARPU","10942.886652301500","10109.894592351300","11775.878712251701"
"2025-11-01","Дивизион_по_розничному_бизнесу","ARPU","10956.796088295800","10161.39451501840","11752.19766157330"
"2025-11-01","Дивизион_информационных_технологий","ARPU","11017.50985378790","10186.091461868400","11848.928245707400"
"2025-11-01","Дирекция_управления_проектами_(ДУП)","ARPU","11027.782739891700","10222.93827068990","11832.627209093500"
"2025-11-01","Дирекция_телеком-комплектации","ARPU","10938.758797392300","10130.713910842100","11746.803683942400"
"2025-11-01","Корпоративный_университет","ARPU","10975.967472329499","10202.726080442701","11749.208864216300"
"2025-11-01","Обьединение_""Дивизион_Сеть""","ARPU","10900.542433760400","10101.877551735801","11699.20731578490"
"2025-11-01","Сервисная_Фабрика","ARPU","10925.05754987850","10115.0447938367","11735.07030592030"
"2025-11-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10964.65201725460","10159.45958587040","11769.84444863870"
"2025-12-01","Дивизион_по_корпоративному_бизнесу","ARPU","11304.499852792000","10368.724613018700","12240.27509256540"
"2025-12-01","Дивизион_по_розничному_бизнесу","ARPU","11334.277242854399","10450.682403664399","12217.872082044500"
"2025-12-01","Дивизион_информационных_технологий","ARPU","11374.922541294000","10444.33485448690","12305.51022810120"
"2025-12-01","Дирекция_управления_проектами_(ДУП)","ARPU","11402.007111452600","10507.320106280500","12296.694116624700"
"2025-12-01","Дирекция_телеком-комплектации","ARPU","11304.912128157101","10404.322791464099","12205.501464850200"
"2025-12-01","Корпоративный_университет","ARPU","11334.706038264800","10472.696235053400","12196.715841476100"
"2025-12-01","Обьединение_""Дивизион_Сеть""","ARPU","11251.45187395570","10371.839273112801","12131.064474798601"
"2025-12-01","Сервисная_Фабрика","ARPU","11286.055489339400","10383.589894967599","12188.52108371130"
"2025-12-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","11361.597784267800","10463.863874990300","12259.331693545400"
"2026-01-01","Дивизион_по_корпоративному_бизнесу","ARPU","12626.414665524700","11579.972104091999","13672.857226957400"
"2026-01-01","Дивизион_по_розничному_бизнесу","ARPU","12660.193710805401","11698.509622561400","13621.877799049400"
"2026-01-01","Дивизион_информационных_технологий","ARPU","12747.074241321900","11721.341826611801","13772.80665603200"
"2026-01-01","Дирекция_управления_проектами_(ДУП)","ARPU","12734.008975125100","11748.052023801900","13719.965926448200"
"2026-01-01","Дирекция_телеком-комплектации","ARPU","12647.35939290670","11640.178735051701","13654.540050761700"
"2026-01-01","Корпоративный_университет","ARPU","12665.310850278100","11703.255661245599","13627.366039310600"
"2026-01-01","Обьединение_""Дивизион_Сеть""","ARPU","12579.117469965200","11596.6066860386","13561.628253891900"
"2026-01-01","Сервисная_Фабрика","ARPU","12621.159213536501","11613.397260991800","13628.921166081300"
"2026-01-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","12726.223528168501","11728.204839853401","13724.242216483701"
"2026-02-01","Дивизион_по_корпоративному_бизнесу","ARPU","10094.792674515200","8930.586826164361","11258.998522866101"
"2026-02-01","Дивизион_по_розничному_бизнесу","ARPU","10136.0898198859","9071.241219373160","11200.938420398599"
"2026-02-01","Дивизион_информационных_технологий","ARPU","10224.701547518800","9101.735684885320","11347.667410152400"
"2026-02-01","Дирекция_управления_проектами_(ДУП)","ARPU","10219.85943240420","9138.019487217751","11301.699377590699"
"2026-02-01","Дирекция_телеком-комплектации","ARPU","10147.565372333100","9025.757779694510","11269.372964971801"
"2026-02-01","Корпоративный_университет","ARPU","10117.287394208801","9061.296670437900","11173.278117979700"
"2026-02-01","Обьединение_""Дивизион_Сеть""","ARPU","10059.518913846399","8973.88985235913","11145.147975333701"
"2026-02-01","Сервисная_Фабрика","ARPU","10064.394589715999","8929.994212135260","11198.794967296701"
"2026-02-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","ARPU","10198.17405937050","9088.726964619769","11307.621154121200"
"2025-03-01","Дивизион_по_корпоративному_бизнесу","EBITDA","8802.680408966420","7711.029434726900","9894.331383205939"
"2025-03-01","Дивизион_по_розничному_бизнесу","EBITDA","9673.460910519279","8576.966937040150","10769.954883998400"
"2025-03-01","Дивизион_информационных_технологий","EBITDA","2.4649024058271","-1062.5115040385","1067.4413088501501"
"2025-03-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-103.76684475237","-1164.3965937449","956.8629042401390"
"2025-03-01","Дирекция_телеком-комплектации","EBITDA","-107.89558725865","-1168.57343991","952.7822653927500"
"2025-03-01","Корпоративный_университет","EBITDA","-33.802978706737","-1094.8362227503","1027.230265336860"
"2025-03-01","Обьединение_""Дивизион_Сеть""","EBITDA","-4404.754392397990","-5505.927186441550","-3303.5815983544198"
"2025-03-01","Сервисная_Фабрика","EBITDA","-1770.696255406730","-2855.869699947740","-685.5228108657140"
"2025-03-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-4884.268929788620","-7866.468348049700","-1902.0695115275300"
"2025-04-01","Дивизион_по_корпоративному_бизнесу","EBITDA","8153.761307935680","7062.3053631598","9245.217252711531"
"2025-04-01","Дивизион_по_розничному_бизнесу","EBITDA","10028.182602019901","8924.718188665311","11131.647015374499"
"2025-04-01","Дивизион_информационных_технологий","EBITDA","-239.64895386779","-1306.344432006","827.0465242704400"
"2025-04-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-129.36780641848","-1190.0302333561","931.2946205191790"
"2025-04-01","Дирекция_телеком-комплектации","EBITDA","-127.37299511705","-1188.0476713845","933.3016811504190"
"2025-04-01","Корпоративный_университет","EBITDA","-21.825534069316","-1082.907225869990","1039.2561577313500"
"2025-04-01","Обьединение_""Дивизион_Сеть""","EBITDA","-4303.262358138460","-5399.273391633120","-3207.251324643790"
"2025-04-01","Сервисная_Фабрика","EBITDA","-2121.150209461200","-3206.422429640400","-1035.877989281990"
"2025-04-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-7189.731719124260","-10832.504347983800","-3546.959090264680"
"2025-05-01","Дивизион_по_корпоративному_бизнесу","EBITDA","8500.263409704630","7408.881116809840","9591.645702599420"
"2025-05-01","Дивизион_по_розничному_бизнесу","EBITDA","10222.410552289601","9119.688621970590","11325.132482608600"
"2025-05-01","Дивизион_информационных_технологий","EBITDA","136.80047424319","-930.76141205055","1204.3623605369201"
"2025-05-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-144.31497209162","-1204.9651871039","916.3352429206470"
"2025-05-01","Дирекция_телеком-комплектации","EBITDA","-108.35606215144","-1169.027282177500","952.3151578746200"
"2025-05-01","Корпоративный_университет","EBITDA","3.902814847981","-1057.2843603607","1065.0899900566501"
"2025-05-01","Обьединение_""Дивизион_Сеть""","EBITDA","-3206.339117259510","-4295.816745869610","-2116.8614886494001"
"2025-05-01","Сервисная_Фабрика","EBITDA","-1771.3067462695","-2855.5965394231","-687.0169531159160"
"2025-05-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-6831.473951870740","-11172.649183825401","-2490.2987199160998"
"2025-06-01","Дивизион_по_корпоративному_бизнесу","EBITDA","8819.767897000311","7721.139656498640","9918.396137501990"
"2025-06-01","Дивизион_по_розничному_бизнесу","EBITDA","10880.993037930801","9774.52331101959","11987.462764841999"
"2025-06-01","Дивизион_информационных_технологий","EBITDA","83.204398244782","-986.37976320637","1152.7885596959300"
"2025-06-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-137.61260556205","-1198.285932922200","923.0607217980991"
"2025-06-01","Дирекция_телеком-комплектации","EBITDA","-96.37641019379","-1157.048740053520","964.295919665937"
"2025-06-01","Корпоративный_университет","EBITDA","11.685925305671","-1049.552384433","1072.9242350443601"
"2025-06-01","Обьединение_""Дивизион_Сеть""","EBITDA","-3687.178323104390","-4775.443022882180","-2598.9136233265999"
"2025-06-01","Сервисная_Фабрика","EBITDA","-1822.589299823430","-2906.621895496760","-738.5567041501050"
"2025-06-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-7054.8106363293","-12080.468116851400","-2029.153155807140"
"2025-07-01","Дивизион_по_корпоративному_бизнесу","EBITDA","6329.681674149950","5243.359893934780","7416.003454365120"
"2025-07-01","Дивизион_по_розничному_бизнесу","EBITDA","9953.696937974029","8851.248834469590","11056.14504147850"
"2025-07-01","Дивизион_информационных_технологий","EBITDA","-373.57455291907","-1445.1074682126","697.9583623744910"
"2025-07-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-135.41773902374","-1196.132598114450","925.2971200669680"
"2025-07-01","Дирекция_телеком-комплектации","EBITDA","-123.25758147591","-1183.9391909579","937.4240280061100"
"2025-07-01","Корпоративный_университет","EBITDA","-0.45172854561238","-1062.122128902750","1061.218671811520"
"2025-07-01","Обьединение_""Дивизион_Сеть""","EBITDA","-3373.276230235950","-4466.0659526781","-2280.4865077937998"
"2025-07-01","Сервисная_Фабрика","EBITDA","-1900.694885028200","-2984.8831962806","-816.5065737758000"
"2025-07-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-7859.566070243600","-13785.818087895301","-1933.3140525919200"
"2025-08-01","Дивизион_по_корпоративному_бизнесу","EBITDA","8218.269507202511","7127.830507913260","9308.708506491759"
"2025-08-01","Дивизион_по_розничному_бизнесу","EBITDA","11095.374450721200","9991.232688901930","12199.51621254050"
"2025-08-01","Дивизион_информационных_технологий","EBITDA","-479.366530047807","-1555.0621586727","596.329098577118"
"2025-08-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-146.27089313549","-1207.0186559051","914.4768696341210"
"2025-08-01","Дирекция_телеком-комплектации","EBITDA","-135.84248643708","-1196.5388623273","924.853889453105"
"2025-08-01","Корпоративный_университет","EBITDA","-20.393198566501","-1081.850766387310","1041.0643692543099"
"2025-08-01","Обьединение_""Дивизион_Сеть""","EBITDA","-2526.665453198470","-3618.106546471320","-1435.22435992562"
"2025-08-01","Сервисная_Фабрика","EBITDA","-1831.638972473770","-2916.365709623","-746.9122353245460"
"2025-08-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-8014.961465819080","-14763.483720069400","-1266.439211568780"
"2025-09-01","Дивизион_по_корпоративному_бизнесу","EBITDA","9128.000396931149","8033.117915889570","10222.882877972699"
"2025-09-01","Дивизион_по_розничному_бизнесу","EBITDA","11319.713590551501","10214.79880732140","12424.628373781599"
"2025-09-01","Дивизион_информационных_технологий","EBITDA","-151.61668908685","-1228.4743676956","925.2409895218890"
"2025-09-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-125.12515267659","-1185.9394764813","935.689171128113"
"2025-09-01","Дирекция_телеком-комплектации","EBITDA","-114.98574365613","-1175.6996910089","945.728203696596"
"2025-09-01","Корпоративный_университет","EBITDA","11.225628663483","-1050.453641978110","1072.90489930508"
"2025-09-01","Обьединение_""Дивизион_Сеть""","EBITDA","-2194.23246822388","-3297.371645959320","-1091.093290488440"
"2025-09-01","Сервисная_Фабрика","EBITDA","-1899.876710613","-2984.826850633900","-814.9265705920670"
"2025-09-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-7939.563466066750","-15484.96115920320","-394.1657729303020"
"2025-10-01","Дивизион_по_корпоративному_бизнесу","EBITDA","9332.734234373869","8238.06359504308","10427.40487370470"
"2025-10-01","Дивизион_по_розничному_бизнесу","EBITDA","10743.194105001099","9638.264124400950","11848.124085601299"
"2025-10-01","Дивизион_информационных_технологий","EBITDA","-361.28149890507","-1440.7421997855","718.1792019754160"
"2025-10-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-264.68348704567","-1325.6100131229","796.2430390316060"
"2025-10-01","Дирекция_телеком-комплектации","EBITDA","-126.1900331214","-1186.9345939134","934.5545276706520"
"2025-10-01","Корпоративный_университет","EBITDA","1.0293885958","-1060.7653103445","1062.824087536060"
"2025-10-01","Обьединение_""Дивизион_Сеть""","EBITDA","-1714.900413991040","-2834.4738101943","-595.3270177877730"
"2025-10-01","Сервисная_Фабрика","EBITDA","-1991.751342827660","-3077.6811671024","-905.821518552964"
"2025-10-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-8714.540103954390","-17063.449510299499","-365.6306976092370"
"2025-11-01","Дивизион_по_корпоративному_бизнесу","EBITDA","8629.374625314980","7538.514211834010","9720.235038795940"
"2025-11-01","Дивизион_по_розничному_бизнесу","EBITDA","11408.726634795999","10298.24913740820","12519.204132183901"
"2025-11-01","Дивизион_информационных_технологий","EBITDA","-291.42785615614","-1374.5511489398","791.695436627537"
"2025-11-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-95.436919517384","-1156.397585665650","965.5237466308790"
"2025-11-01","Дирекция_телеком-комплектации","EBITDA","-116.88267277777","-1177.6731007767","943.9077552211800"
"2025-11-01","Корпоративный_университет","EBITDA","-12.475695018497","-1074.4362727982","1049.484882761230"
"2025-11-01","Обьединение_""Дивизион_Сеть""","EBITDA","-1217.105284263260","-2355.704620548260","-78.505947978254"
"2025-11-01","Сервисная_Фабрика","EBITDA","-1934.399114521560","-3021.8267562293","-846.9714728138300"
"2025-11-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-8175.916672001330","-17242.249331857100","890.4159878544521"
"2025-12-01","Дивизион_по_корпоративному_бизнесу","EBITDA","6763.217721326220","5674.616895265310","7851.818547387140"
"2025-12-01","Дивизион_по_розничному_бизнесу","EBITDA","13125.371689739100","11991.31227837980","14259.431101098500"
"2025-12-01","Дивизион_информационных_технологий","EBITDA","437.5268210086","-646.40321723263","1521.4568592498299"
"2025-12-01","Дирекция_управления_проектами_(ДУП)","EBITDA","26.179465689855","-1034.8570130265","1087.2159444062399"
"2025-12-01","Дирекция_телеком-комплектации","EBITDA","-110.58898199127","-1171.4423569447","950.2643929621670"
"2025-12-01","Корпоративный_университет","EBITDA","1.9121293969735","-1060.273144381920","1064.0974031758701"
"2025-12-01","Обьединение_""Дивизион_Сеть""","EBITDA","-903.7566176776","-2078.6532905737","271.1400552185410"
"2025-12-01","Сервисная_Фабрика","EBITDA","-2085.08675443","-3174.912270869450","-995.2612379905520"
"2025-12-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-7958.754326023690","-17746.666202155098","1829.157550107730"
"2026-01-01","Дивизион_по_корпоративному_бизнесу","EBITDA","6266.335509410010","5175.688118902410","7356.982899917610"
"2026-01-01","Дивизион_по_розничному_бизнесу","EBITDA","12482.343559526600","11343.920219858201","13620.766899194999"
"2026-01-01","Дивизион_информационных_технологий","EBITDA","-514.32817159055","-1602.021721649950","573.3653784688560"
"2026-01-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-136.30798832121","-1197.4186383751","924.8026617326320"
"2026-01-01","Дирекция_телеком-комплектации","EBITDA","-197.95974366055","-1258.889064186730","862.9695768656330"
"2026-01-01","Корпоративный_университет","EBITDA","-366.68978366028","-1428.961226785640","695.5816594650720"
"2026-01-01","Обьединение_""Дивизион_Сеть""","EBITDA","-1963.8293204813","-3173.69202547258","-753.9666154900650"
"2026-01-01","Сервисная_Фабрика","EBITDA","-3523.5604624561","-4621.367554074780","-2425.753370837440"
"2026-01-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-13951.312546928400","-24244.791868933000","-3657.8332249237001"
"2026-02-01","Дивизион_по_корпоративному_бизнесу","EBITDA","9446.022243372690","8347.176364600220","10544.868122145201"
"2026-02-01","Дивизион_по_розничному_бизнесу","EBITDA","11617.868384542400","10481.309560785699","12754.427208299099"
"2026-02-01","Дивизион_информационных_технологий","EBITDA","-270.14581389666","-1364.7368663019","824.4452385085430"
"2026-02-01","Дирекция_управления_проектами_(ДУП)","EBITDA","-126.21636749095","-1187.4364915449","935.0037565629860"
"2026-02-01","Дирекция_телеком-комплектации","EBITDA","-71.795543652169","-1132.807200094210","989.216112789868"
"2026-02-01","Корпоративный_университет","EBITDA","21.91497416873","-1040.6689259522","1084.498874289640"
"2026-02-01","Обьединение_""Дивизион_Сеть""","EBITDA","355.86367376189","-914.71375343441","1626.441100958190"
"2026-02-01","Сервисная_Фабрика","EBITDA","-1614.7079916371","-2711.5841550863","-517.831828188027"
"2026-02-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","EBITDA","-21832.593552964900","-31848.63010518760","-11816.55700074220"
"2025-03-01","Дивизион_по_корпоративному_бизнесу","расход","2338.146279030600","999.65274066367","3676.639817397530"
"2025-03-01","Дивизион_по_розничному_бизнесу","расход","4926.266911673640","3614.0999316829","6238.433891664410"
"2025-03-01","Дивизион_информационных_технологий","расход","2292.3294983367","988.069012296542","3596.5899843768402"
"2025-03-01","Дирекция_управления_проектами_(ДУП)","расход","61.172639980599","-1234.099092010450","1356.4443719716501"
"2025-03-01","Дирекция_телеком-комплектации","расход","32.841055762371","-1262.3247152596","1328.006826784350"
"2025-03-01","Корпоративный_университет","расход","-82.871886159463","-1378.3722522796","1212.6284799607199"
"2025-03-01","Обьединение_""Дивизион_Сеть""","расход","7032.962985156540","5682.432042178860","8383.493928134219"
"2025-03-01","Сервисная_Фабрика","расход","1923.634884650450","607.01265460193","3240.257114698960"
"2025-03-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","расход","5902.718421413790","56.680937140709","11748.755905686899"
"2025-04-01","Дивизион_по_корпоративному_бизнесу","расход","2992.979776873000","1665.0661880547","4320.89336569131"
"2025-04-01","Дивизион_по_розничному_бизнесу","расход","5904.9761782422","4585.785898966470","7224.166457517930"
"2025-04-01","Дивизион_информационных_технологий","расход","2675.163761904150","1372.0088830604","3978.318640747870"
"2025-04-01","Дирекция_управления_проектами_(ДУП)","расход","80.282092905689","-1215.0540031918","1375.6181890032201"
"2025-04-01","Дирекция_телеком-комплектации","расход","58.799360046788","-1236.355672821880","1353.954392915460"
"2025-04-01","Корпоративный_университет","расход","-97.509763911466","-1393.0023843178","1197.9828564948400"
"2025-04-01","Обьединение_""Дивизион_Сеть""","расход","7174.461474117310","5814.67643747065","8534.246510763980"
"2025-04-01","Сервисная_Фабрика","расход","2321.5107408872","1006.303262178860","3636.718219595590"
"2025-04-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","расход","7806.95245736535","-483.77585732042","16097.680772051101"
"2025-05-01","Дивизион_по_корпоративному_бизнесу","расход","2671.959013461450","1352.07126947586","3991.846757447040"
"2025-05-01","Дивизион_по_розничному_бизнесу","расход","5242.765024680530","3929.0555149913","6556.474534369780"
"2025-05-01","Дивизион_информационных_технологий","расход","2195.504514554280","893.13025884131","3497.878770267250"
"2025-05-01","Дирекция_управления_проектами_(ДУП)","расход","102.29880447869","-1193.0317406965","1397.6293496538599"
"2025-05-01","Дирекция_телеком-комплектации","расход","39.665999159295","-1255.4770759358","1334.809074254340"
"2025-05-01","Корпоративный_университет","расход","-127.79939560455","-1423.347663042840","1167.7488718337299"
"2025-05-01","Обьединение_""Дивизион_Сеть""","расход","6161.595842029700","4793.958406119170","7529.233277940230"
"2025-05-01","Сервисная_Фабрика","расход","1980.0219303948","667.54911332624","3292.4947474634"
"2025-05-01","Центральный_аппарат_Акционерного_Общества_""Казахтелеком""","расход","5730.848462118680","-5057.900787770520","16519.597712007901"
"2025-06-01","Дивизион_по_корпоративному_бизнесу","расход","2443.3675713524","1123.6664773423","3763.0686653624698"
