"Год","Месяц","Отделение(дивизион)","субдивизион_1","субдивизион_2","субдивизион_3","Операционные_расходы_млн_тенге"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.8. Обслуживание и ремонт технических средств производственного назначения","-0.01621527"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.10.Аренда оснвных срв производственного назн.","482.937097"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.12. Обслуживание сервисных контрактов","0.58835647"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.13.Расходы по соглашениям с международ.операт.","1278.47489605"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.14.Расходы по соглашениям с оператораи связи","569.42494585"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.15. Расх. связанные с совместным оказан. услуг","116.72962198"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.16. Расходы за контент","32.20122047"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.20. Амортизационные отчисления","94.46320031"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.21.Страхов.имущ.предй,трансп.,раб.произ. деят","3.29009309"
"2023","1","Дивизион_по_корпоративному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.22. Прочие накладные расходы","215.89212046"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.2. Расходы по труду","100.56254376"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.6. Командировочные расходы","3.18228375"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.7. Подготовка и повышение квалификации кадров","0.21232802"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.11. Аренда основных средств общеадм.назначения общеадминистрат.назначения","1.7112"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.13. Расходы по банковским услугам","0.01888344"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.16. Представительские расходы","2.473757"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.17. Расх. по начислению налогов и сборов,всего","127.86650817"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.20. Страхования имущества предприятия, транспорта работников общеадминистр.значения","0.61027466"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.21. Другие административные расходы","0.9943789"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.2. Расходы по реализации, всего","4.2.1. в т.ч. маркетинг","0.06666658"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.2. Расходы по реализации, всего","4.2.2. реклама","0.036"
"2023","1","Дивизион_по_корпоративному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.2. Расходы по реализации, всего","4.2.3. другие:","1.89285724"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.1. Кабельная продукция","23.62097118"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.3. Запасные части, комплектующие изделия  и прочие материальные затраты","5.41325953"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.1.Оплата труда основного производств.персонала","770.29146253"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.2. Социальный налог","46.25147425"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.3. Социальное страхование","23.61652951"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.4. Расходы на социальное обеспечение","27.14952708"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.6.Обязательное социальное медицин.отчисление","22.42459044"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.3. Себестоимость реализованных товаров","2.3.6. Прочие","1.82928902"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.4. Затраты на обеспечение условий труда и техники безопасности производства","0.36704282"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.5. Командировочные расходы","12.60730944"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.6. Подготовка и повышение квалификации кадров","0.02783103"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.10.Аренда оснвных срв производственного назн.","0.465"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.15. Расх. связанные с совместным оказан. услуг","1467.07820528"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.16. Расходы за контент","419.09671589"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.20. Амортизационные отчисления","245.92312861"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.21.Страхов.имущ.предй,трансп.,раб.произ. деят","6.0941311"
"2023","1","Дивизион_по_розничному_бизнесу","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.22. Прочие накладные расходы","93.17473358"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.2. Расходы по труду","93.68292698"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.6. Командировочные расходы","3.27930893"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.7. Подготовка и повышение квалификации кадров","0.079166"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.11. Аренда основных средств общеадм.назначения общеадминистрат.назначения","0.621"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.13. Расходы по банковским услугам","0.03837071"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.17. Расх. по начислению налогов и сборов,всего","0.1173"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.18. Амортизационные отчисления, всего","0.718456"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.20. Страхования имущества предприятия, транспорта работников общеадминистр.значения","0.5848496"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.21. Другие административные расходы","-56.02822017"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.2. Расходы по реализации, всего","4.2.2. реклама","-17.292155"
"2023","1","Дивизион_по_розничному_бизнесу","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.2. Расходы по реализации, всего","4.2.3. другие:","141.00804409"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.2. Топливо","0.41075245"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.3. Запасные части, комплектующие изделия  и прочие материальные затраты","0.21163"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.4. Электроэнергия","50.72671625"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.5. Наемный транспорт","1"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.1.Оплата труда основного производств.персонала","226.18351707"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.2. Социальный налог","14.03430695"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.3. Социальное страхование","4.92865573"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.4. Расходы на социальное обеспечение","0.41363322"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.6.Обязательное социальное медицин.отчисление","5.06432329"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.3. Охрана объектов производствен.назначения","2.44414218"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.4. Затраты на обеспечение условий труда и техники безопасности производства","0.04885626"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.5. Командировочные расходы","2.16436329"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.6. Подготовка и повышение квалификации кадров","-1.11915071"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.10.Аренда оснвных срв производственного назн.","36.65329921"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.12. Обслуживание сервисных контрактов","168.98296504"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.17.  Услуги Интеллектуальных сетей","2.7"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.20. Амортизационные отчисления","523.88174271"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.21.Страхов.имущ.предй,трансп.,раб.произ. деят","0.40170535"
"2023","1","Дивизион_информационных_технологий","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.22. Прочие накладные расходы","368.3191664"
"2023","1","Дивизион_информационных_технологий","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.2. Расходы по труду","86.76129004"
"2023","1","Дивизион_информационных_технологий","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.6. Командировочные расходы","5.06681452"
"2023","1","Дивизион_информационных_технологий","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.7. Подготовка и повышение квалификации кадров","1.198317"
"2023","1","Дивизион_информационных_технологий","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.17. Расх. по начислению налогов и сборов,всего","0.015549"
"2023","1","Дивизион_информационных_технологий","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.20. Страхования имущества предприятия, транспорта работников общеадминистр.значения","0.37993656"
"2023","1","Дивизион_информационных_технологий","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.21. Другие административные расходы","-8.74206858"
"2023","1","Дивизион_информационных_технологий","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.2. Расходы по реализации, всего","4.2.3. другие:","0.63438637"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.1.Оплата труда основного производств.персонала","29.01262982"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.2. Социальный налог","1.6897061"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.3. Социальное страхование","0.76736486"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.4. Расходы на социальное обеспечение","0.14672669"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.2.Расходы по труду основного производ. персонала","2.2.6.Обязательное социальное медицин.отчисление","0.86904781"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.5. Командировочные расходы","0.17659732"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.21.Страхов.имущ.предй,трансп.,раб.произ. деят","0.2258422"
"2023","1","Дирекция_управления_проектами_(ДУП)","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.2. Расходы по труду","30.20638195"
"2023","1","Дирекция_управления_проектами_(ДУП)","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.6. Командировочные расходы","1.39622948"
"2023","1","Дирекция_управления_проектами_(ДУП)","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.18. Амортизационные отчисления, всего","0.263561"
"2023","1","Дирекция_управления_проектами_(ДУП)","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.20. Страхования имущества предприятия, транспорта работников общеадминистр.значения","0.12519298"
"2023","1","Дирекция_управления_проектами_(ДУП)","IV. РАСХОДЫ ПЕРИОДА (сумма строк 4.1 + 4.2 + производство готовой продукции )","4.1. Административные расходы, всего","4.1.21. Другие административные расходы","0.148944"
"2023","1","Дирекция_управления_проектами_(ДУП)","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","Перерасчетный счет затрат","-9.33545174"
"2023","1","Дирекция_телеком-комплектации","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.2. Топливо","0.48607139"
"2023","1","Дирекция_телеком-комплектации","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.3. Запасные части, комплектующие изделия  и прочие материальные затраты","0.142535"
"2023","1","Дирекция_телеком-комплектации","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.1. Материалы, всего","2.1.4. Электроэнергия","1.0059753"
"2023","1","Дирекция_телеком-комплектации","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.2. Расходы по труду  вспомогательного производственного персонала","57.85094949"
"2023","1","Дирекция_телеком-комплектации","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.3. Охрана объектов производствен.назначения","1.65560968"
"2023","1","Дирекция_телеком-комплектации","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.4. Затраты на обеспечение условий труда и техники безопасности производства","0.02131446"
"2023","1","Дирекция_телеком-комплектации","II. СЕБЕСТОИМОСТЬ РЕАЛИЗОВАННЫХ УСЛУГ: (сумма строк 1.1.+ 1.2.+ 1.3 )","2.4. Накладные затраты, всего","2.4.5. Командировочные расходы","1.17214461"
